[20170113140711.012]0x00000002: 20170113140711.012, 35.521657, -98.976155, 26 #position(time_stamp, lat, lon, ttff)
[20170113140711.381]0x00000001: 20170113140711.381 #gps stop
[20170114005011.980]0x00000000: 20170114005011.980 #gps start
[20170114005019.508]0x00000002: 20170114005019.508, 35.521392, -98.984093, 7 #position(time_stamp, lat, lon, ttff)
[20170114005020.509]0x00000002: 20170114005020.509, 35.521363, -98.984067, 7 #position(time_stamp, lat, lon, ttff)
[20170114005021.510]0x00000002: 20170114005021.510, 35.521352, -98.984045, 7 #position(time_stamp, lat, lon, ttff)
[20170114005021.789]0x00000001: 20170114005021.789 #gps stop
[20170114010815.916]0x00000000: 20170114010815.916 #gps start
[20170114010831.374]0x00000002: 20170114010831.374, 35.521320, -98.983985, 16 #position(time_stamp, lat, lon, ttff)
[20170114010831.374]0x00000001: 20170114010831.374 #gps stop
[20170114011022.016]0x00000000: 20170114011022.016 #gps start
[20170114011037.463]0x00000002: 20170114011037.463, 35.521290, -98.984052, 15 #position(time_stamp, lat, lon, ttff)
[20170114011037.464]0x00000001: 20170114011037.464 #gps stop
[20170114043305.679]0x00000000: 20170114043305.679 #gps start
[20170114043320.106]0x00000002: 20170114043320.106, 35.521627, -98.984288, 15 #position(time_stamp, lat, lon, ttff)
[20170114043320.189]0x00000001: 20170114043320.189 #gps stop
[20170114124307.259]0x00000000: 20170114124307.259 #gps start
[20170114124316.681]0x00000001: 20170114124316.681 #gps stop
[20170114124328.024]0x00000000: 20170114124328.024 #gps start
[20170114124329.304]0x00000001: 20170114124329.304 #gps stop
[20170114124435.995]0x00000000: 20170114124435.995 #gps start
[20170114124437.297]0x00000001: 20170114124437.297 #gps stop
[20170114124446.388]0x00000000: 20170114124446.388 #gps start
[20170114124447.690]0x00000001: 20170114124447.690 #gps stop
[20170114124549.327]0x00000000: 20170114124549.327 #gps start
[20170114124550.597]0x00000001: 20170114124550.597 #gps stop
[20170114152315.465]0x00000000: 20170114152315.465 #gps start
[20170114152335.001]0x00000002: 20170114152335.001, 35.521165, -98.982458, 20 #position(time_stamp, lat, lon, ttff)
[20170114152336.212]0x00000002: 20170114152336.212, 35.521225, -98.982450, 20 #position(time_stamp, lat, lon, ttff)
[20170114152337.190]0x00000002: 20170114152337.190, 35.521260, -98.982440, 20 #position(time_stamp, lat, lon, ttff)
[20170114152338.190]0x00000002: 20170114152338.190, 35.521407, -98.982513, 20 #position(time_stamp, lat, lon, ttff)
[20170114152339.202]0x00000002: 20170114152339.202, 35.521405, -98.982592, 20 #position(time_stamp, lat, lon, ttff)
[20170114152340.293]0x00000002: 20170114152340.293, 35.521393, -98.982697, 20 #position(time_stamp, lat, lon, ttff)
[20170114152341.190]0x00000002: 20170114152341.190, 35.521393, -98.982697, 20 #position(time_stamp, lat, lon, ttff)
